,"消費者物價基本分類指數"
,,,,,,,"指數基期：民國110年=100"
"統計期","總指數","一.食物類","二.衣著類","三.居住類","四.交通及通訊類","五.醫藥保健類","六.教養娛樂類","七.雜項類",
"76年1月","57.43","41.85","89.07","65.27","81.76","51.86","48.24","56.99",
"76年2月","57.31","41.78","86.63","65.37","82.16","51.65","48.27","56.76",
"76年3月","56.86","41.12","84.93","65.30","81.92","51.57","48.22","56.55",
"76年4月","57.06","41.50","85.24","65.32","81.93","51.52","48.13","56.64",
"76年5月","57.07","41.37","86.96","65.32","81.90","51.48","47.86","57.28",
"76年6月","57.11","41.48","87.06","65.33","81.74","51.39","47.90","57.17",
"76年7月","57.77","42.89","86.90","65.34","81.80","51.23","47.82","56.73",
"76年8月","58.24","43.93","86.14","65.42","81.87","51.08","47.83","56.21",
"76年9月","58.45","43.59","85.76","65.54","81.88","50.93","51.35","55.93",
"76年10月","57.93","42.31","86.57","65.84","81.80","50.95","51.46","55.97",
"76年11月","58.09","42.32","89.51","66.08","81.52","51.05","51.49","55.99",
"76年12月","58.69","43.48","91.40","65.99","80.91","51.12","51.47","56.03",
"77年","58.41","42.90","89.43","65.91","80.81","51.04","52.01","56.78",
"77年1月","57.74","41.88","91.92","65.46","80.08","51.08","51.47","56.11",
"77年2月","57.51","41.46","89.50","65.51","80.30","50.98","51.44","57.04",
"77年3月","57.19","41.03","87.35","65.56","80.36","50.96","51.49","56.41",
"77年4月","57.26","41.10","87.34","65.60","80.12","51.12","51.42","56.93",
"77年5月","57.91","42.13","88.53","65.73","80.11","51.05","51.40","57.71",
"77年6月","58.26","42.84","88.86","65.79","80.01","51.06","51.40","57.52",
"77年7月","58.26","42.65","89.98","65.91","81.05","51.00","51.39","57.00",
"77年8月","59.09","44.36","88.70","66.04","81.18","51.04","51.30","56.69",
"77年9月","59.28","44.44","86.68","66.07","81.61","51.02","53.09","56.49",
"77年10月","59.70","45.03","89.52","66.18","81.33","51.02","53.28","56.42",
"77年11月","59.39","44.09","92.25","66.32","81.85","51.02","53.25","56.49",
"77年12月","59.34","43.78","92.49","66.69","81.76","51.15","53.24","56.58",
"78年","60.99","45.58","89.91","68.77","81.87","53.14","54.31","58.13",
"78年1月","59.34","43.31","92.31","67.60","81.87","51.47","53.21","56.71",
"78年2月","59.86","44.40","87.55","67.38","82.62","51.90","53.33","58.26",
"78年3月","60.01","44.67","87.54","67.46","82.38","52.82","53.31","57.78",
"78年4月","60.54","45.38","88.73","67.72","82.47","52.87","53.42","58.29",
"78年5月","60.99","45.98","89.55","68.14","82.29","52.87","53.37","58.78",
"78年6月","60.83","45.12","89.96","68.90","82.27","53.41","53.40","59.41",
"78年7月","60.54","44.56","88.98","69.31","81.57","53.61","53.39","58.98",
"78年8月","61.05","45.70","87.51","69.51","81.28","53.67","53.76","58.00",
"78年9月","62.65","48.26","87.24","69.84","81.40","53.72","56.16","57.65",
"78年10月","63.25","49.23","90.68","69.68","81.41","53.70","56.13","57.65",
"78年11月","61.62","45.64","95.03","69.69","81.40","53.62","56.17","57.89",
"78年12月","61.20","44.67","93.88","70.01","81.47","54.04","56.12","58.10",
"79年","63.51","47.19","90.07","72.65","83.88","54.82","58.49","59.58",
"79年1月","61.63","45.01","92.30","70.69","81.58","54.17","56.13","60.01",
"79年2月","61.54","45.02","88.47","70.77","81.83","54.21","56.91","59.09",
"79年3月","62.00","45.86","87.39","71.03","81.83","54.25","56.95","59.18",
"79年4月","62.61","46.80","88.53","71.29","81.85","54.30","57.01","59.57",
"79年5月","63.27","47.54","89.35","72.15","81.78","54.33","57.15","59.98",
"79年6月","63.03","46.74","89.70","72.68","81.69","54.32","57.10","60.50",
"79年7月","63.45","47.53","88.80","73.07","81.71","54.31","57.19","59.90",
"79年8月","64.50","49.38","87.53","73.53","82.53","54.50","57.72","59.19",
"79年9月","66.74","52.14","88.43","74.15","85.75","55.78","61.31","59.20",
"79年10月","65.30","48.76","91.04","74.01","88.34","55.88","61.39","59.37",
"79年11月","64.04","45.89","94.31","74.11","88.60","55.91","61.51","59.41",
"79年12月","63.99","45.60","94.94","74.28","89.05","55.92","61.50","59.60",
"80年","65.81","47.68","90.22","76.86","88.98","56.83","63.19","61.07",
"80年1月","64.70","46.32","96.06","74.66","88.26","56.01","62.08","60.69",
"80年2月","65.09","47.09","89.45","75.05","89.55","56.02","62.31","62.19",
"80年3月","64.77","46.42","87.60","75.49","89.49","56.02","62.36","61.26",
"80年4月","65.19","47.02","89.06","75.72","89.38","56.05","62.38","62.05",
"80年5月","65.41","46.97","89.50","76.28","89.39","56.03","62.44","62.89",
"80年6月","65.57","47.08","90.05","77.10","88.71","56.03","62.46","62.34",
"80年7月","66.02","48.26","89.41","77.48","88.82","56.07","62.51","61.00",
"80年8月","66.17","48.74","87.42","77.91","88.73","56.05","62.62","60.15",
"80年9月","66.27","48.20","87.00","78.29","89.01","56.15","64.74","59.94",
"80年10月","66.92","49.21","89.17","78.12","89.02","59.10","64.78","60.06",
"80年11月","67.12","49.26","93.69","78.03","88.94","59.14","64.79","60.10",
"80年12月","66.48","47.60","94.19","78.24","88.43","59.24","64.75","60.12",
"81年","68.75","51.66","91.69","79.54","87.96","59.95","67.01","62.12",
"81年1月","67.14","48.95","94.04","78.38","88.78","59.50","65.04","60.25",
"81年2月","67.73","50.26","88.53","78.43","88.63","59.62","65.76","62.78",
"81年3月","67.82","50.66","88.08","78.54","88.36","59.67","65.64","62.19",
"81年4月","68.92","52.52","92.38","78.89","88.20","59.73","65.74","63.19",
"81年5月","69.15","52.67","92.75","79.05","88.01","59.76","65.74","64.77",
"81年6月","68.96","51.74","93.88","79.93","87.89","59.80","65.78","63.81",
"81年7月","68.46","50.91","91.46","80.15","87.68","59.79","65.91","62.54",
"81年8月","68.15","50.50","88.70","80.30","87.50","59.93","66.25","61.40",
"81年9月","70.35","54.84","89.19","80.58","87.55","60.15","69.58","61.12",
"81年10月","70.32","54.67","93.08","80.01","87.63","60.50","69.58","60.98",
"81年11月","69.20","51.57","94.75","80.14","87.67","60.51","69.53","61.15",
"81年12月","68.75","50.59","93.41","80.13","87.66","60.49","69.51","61.31",
"82年","70.77","53.25","88.48","82.48","88.45","60.80","71.62","64.39",
"82年1月","69.59","51.47","87.96","80.68","88.27","60.55","69.81","67.23",
"82年2月","69.80","53.01","84.37","80.73","88.19","60.58","70.29","63.53",
"82年3月","70.02","53.45","82.49","81.11","88.21","60.50","70.01","64.43",
"82年4月","70.83","53.82","93.22","81.48","88.20","60.53","70.07","65.35",
"82年5月","70.59","52.81","92.46","81.76","88.23","60.54","70.14","66.62",
"82年6月","71.96","55.57","94.51","82.57","88.38","60.57","70.10","66.20",
"82年7月","70.71","52.86","91.49","82.86","88.50","60.65","70.18","64.85",
"82年8月","70.42","52.78","83.90","83.36","88.65","61.02","70.59","63.25",
"82年9月","70.87","52.75","82.16","83.96","88.76","61.08","74.45","62.75",
"82年10月","71.18","53.01","87.67","83.61","88.97","61.18","74.58","62.82",
"82年11月","71.34","52.96","91.51","83.78","88.64","61.19","74.57","62.79",
"82年12月","71.93","54.52","89.98","83.90","88.43","61.23","74.63","62.86",
"83年","73.67","56.68","87.76","85.91","88.66","61.94","75.82","66.19",
"83年1月","71.61","53.73","87.08","84.14","88.24","61.35","74.66","63.83",
"83年2月","72.54","54.55","83.03","84.80","88.52","61.39","75.00","70.40",
"83年3月","72.34","55.19","82.37","84.88","88.07","61.68","74.96","65.40",
"83年4月","73.00","55.51","89.04","85.05","88.33","61.73","75.05","67.22",
"83年5月","73.68","56.29","92.88","85.17","88.40","61.87","75.13","68.84",
"83年6月","73.49","55.30","95.01","85.97","88.55","61.95","75.07","67.80",
"83年7月","73.65","56.02","90.99","86.53","88.56","61.92","75.31","66.15",
"83年8月","75.38","61.04","84.18","86.80","88.84","62.04","75.60","64.98",
"83年9月","75.61","61.12","81.88","87.13","88.99","62.27","77.25","65.08",
"83年10月","74.79","58.89","86.58","86.66","89.06","62.29","77.28","64.77",
"83年11月","74.11","56.67","90.54","86.82","89.00","62.34","77.25","64.79",
"83年12月","73.84","55.84","89.50","86.99","89.37","62.39","77.27","65.02",
"84年","76.37","59.12","90.99","88.92","90.77","62.92","79.55","68.27",
"84年1月","75.36","58.28","86.75","87.64","89.58","62.39","77.27","71.01",
"84年2月","75.04","58.53","83.48","87.52","89.92","62.44","77.56","67.09",
"84年3月","75.14","58.47","82.51","87.89","89.86","62.78","77.68","67.74",
"84年4月","76.24","59.07","97.03","88.16","90.08","62.80","78.08","68.78",
"84年5月","76.10","58.22","97.14","88.40","90.23","62.81","78.32","69.91",
"84年6月","76.92","59.25","98.68","89.35","90.76","62.99","78.38","70.47",
"84年7月","76.47","59.03","92.49","89.58","91.26","63.11","78.50","67.92",
"84年8月","76.67","60.14","86.76","89.71","91.25","63.16","78.85","67.02",
"84年9月","77.13","60.21","85.47","90.01","91.05","63.17","82.24","67.79",
"84年10月","76.93","59.54","90.55","89.42","91.62","63.15","82.38","66.99",
"84年11月","77.24","59.45","95.51","89.65","91.80","63.17","82.70","67.16",
"84年12月","77.21","59.28","95.45","89.74","91.77","63.11","82.65","67.40",
"85年","78.72","61.38","93.21","90.78","91.83","63.99","85.37","69.21",
"85年1月","77.09","58.80","91.77","90.07","91.72","63.27","83.65","67.98",
"85年2月","77.85","59.42","85.63","90.56","91.87","63.87","84.35","74.34",
"85年3月","77.40","59.69","85.03","90.27","91.89","63.90","84.23","68.87",
"85年4月","78.39","60.85","96.05","90.30","91.93","63.90","84.24","69.26",
"85年5月","78.30","60.01","99.32","90.31","92.02","63.90","84.23","70.04",
"85年6月","78.76","60.56","99.41","91.11","92.07","63.91","84.41","70.56",
"85年7月","77.59","58.55","94.10","91.31","91.98","64.08","84.39","68.32",
"85年8月","80.54","66.46","88.74","91.39","91.85","64.09","84.82","67.63",
"85年9月","80.09","64.46","87.11","91.53","91.71","64.08","87.48","69.11",
"85年10月","79.77","63.42","94.88","90.83","91.59","64.22","87.53","68.09",
"85年11月","79.71","62.75","99.32","90.85","91.64","64.30","87.59","68.07",
"85年12月","79.16","61.62","97.15","90.78","91.66","64.34","87.54","68.25",
"86年","79.43","60.95","94.19","91.78","92.84","65.50","88.47","70.06",
"86年1月","78.61","60.28","92.55","91.07","92.63","64.38","87.56","68.65",
"86年2月","79.46","61.07","87.99","91.60","92.89","64.44","87.51","75.46",
"86年3月","78.25","59.77","87.32","91.27","92.66","64.49","87.40","69.03",
"86年4月","78.78","59.48","100.51","91.35","92.87","64.50","87.39","69.52",
"86年5月","78.89","59.12","99.81","91.61","92.89","65.95","87.44","70.80",
"86年6月","80.20","61.82","100.30","92.25","92.77","65.95","87.41","71.68",
"86年7月","80.16","62.85","92.53","92.18","93.09","65.93","87.41","69.92",
"86年8月","80.07","63.32","88.48","92.21","92.81","65.92","87.43","69.17",
"86年9月","80.60","63.46","88.97","92.40","92.91","65.91","90.46","69.74",
"86年10月","79.51","60.72","94.22","91.76","92.83","66.16","90.59","68.93",
"86年11月","79.30","59.61","99.86","91.77","92.72","66.18","90.50","68.96",
"86年12月","79.37","59.86","97.73","91.89","93.03","66.14","90.55","68.87",
"87年","80.77","63.63","88.99","92.80","91.93","66.09","91.33","71.15",
"87年1月","80.18","60.27","88.57","92.68","93.18","66.15","90.92","77.47",
"87年2月","79.69","61.99","83.66","92.20","93.16","66.13","90.64","69.79",
"87年3月","80.18","63.31","83.30","92.19","92.97","66.21","90.66","70.14",
"87年4月","80.45","62.51","94.48","92.53","92.41","66.09","90.57","70.63",
"87年5月","80.20","61.70","93.34","92.59","92.14","66.13","90.29","72.00",
"87年6月","81.36","64.44","93.53","93.42","92.15","66.20","90.58","70.92",
"87年7月","80.83","64.12","85.54","93.33","91.93","66.63","90.91","70.27",
"87年8月","80.43","63.80","81.54","93.26","91.68","65.88","90.91","70.07",
"87年9月","80.92","64.55","81.31","93.39","91.26","65.88","92.80","70.15",
"87年10月","81.56","65.74","88.48","92.72","90.98","65.91","92.60","71.52",
"87年11月","82.40","67.40","97.48","92.62","90.62","65.97","92.50","70.44",
"87年12月","81.05","63.73","96.63","92.61","90.72","65.92","92.63","70.42",
"88年","80.91","63.17","87.96","92.87","91.24","68.59","93.24","71.97",
"88年1月","80.50","63.27","87.63","92.71","90.39","65.97","92.61","70.73",
"88年2月","81.36","63.30","81.09","93.24","90.26","66.74","93.46","80.09",
"88年3月","79.81","62.07","79.94","92.61","90.14","66.73","92.44","72.08",
"88年4月","80.38","61.69","94.13","92.58","90.33","66.75","92.40","72.66",
"88年5月","80.60","62.38","92.97","92.57","90.82","66.78","92.47","72.31",
"88年6月","80.67","62.02","91.42","93.43","91.09","66.71","92.54","72.61",
"88年7月","80.16","61.78","84.25","93.38","91.44","66.90","92.89","70.73",
"88年8月","81.35","65.08","80.15","93.28","91.81","71.49","93.27","69.83",
"88年9月","81.39","64.57","79.62","93.33","92.05","71.26","94.35","71.02",
"88年10月","81.90","65.00","93.96","92.43","91.84","71.31","94.26","70.62",
"88年11月","81.66","64.07","96.25","92.43","92.12","71.28","94.03","70.58",
"88年12月","81.17","62.82","94.14","92.47","92.59","71.17","94.17","70.37",
"89年","81.92","63.42","88.43","93.24","94.18","71.41","96.06","72.64",
"89年1月","80.91","62.83","85.95","92.60","92.75","71.33","94.24","70.86",
"89年2月","82.11","63.24","81.91","93.32","92.99","71.35","95.31","80.39",
"89年3月","80.70","62.35","80.54","92.71","93.45","71.38","94.51","71.68",
"89年4月","81.37","62.00","95.68","92.89","93.93","71.36","94.55","71.94",
"89年5月","81.88","63.32","94.13","92.91","94.03","71.39","94.64","72.50",
"89年6月","81.77","62.40","91.97","93.78","94.19","71.41","95.04","73.06",
"89年7月","81.32","62.17","85.07","93.69","94.38","71.44","95.67","71.65",
"89年8月","81.57","63.52","81.21","93.74","94.08","71.43","95.66","71.21",
"89年9月","82.71","65.10","79.92","94.08","94.58","71.46","98.37","73.01",
"89年10月","82.73","64.13","94.95","93.17","95.14","71.51","98.33","71.78",
"89年11月","83.50","66.19","96.46","93.03","95.19","71.47","98.15","71.79",
"89年12月","82.50","63.76","93.40","93.00","95.44","71.40","98.21","71.83",
"90年","81.92","62.85","86.91","92.76","95.22","72.30","98.10","72.82",
"90年1月","82.82","62.50","83.89","93.57","96.80","71.42","98.88","80.61",
